opcode,mnemonic,address_mode,chiptype
# chiptype: 0 - 6502, 1 - wdc65c02 (rev1), 2 - rockwell/wdc 650c02, 3 - huc6280
0x53,%nop,imp1,1
0x54,%nop,zpx,1
0x57,%nop,imp1,1
0x5b,%nop,imp1,1
0x5c,%nop,abs,1
0x5f,%nop,imp1,1
0x62,%nop,imm,1
0x63,%nop,imp1,1
0x67,%nop,imp1,1
0x6b,%nop,imp1,1
0x6f,%nop,imp1,1
0x73,%nop,imp1,1
0x77,%nop,imp1,1
0x7b,%nop,imp1,1
0x7f,%nop,imp1,1
0x82,%nop,imm,1
0x83,%nop,imp1,1
0x87,%nop,imp1,1
0x8b,%nop,imp1,1
0x8f,%nop,imp1,1
0x93,%nop,imp1,1
0x97,%nop,imp1,1
0x9b,%nop,imp1,1
0x9f,%nop,imp1,1
0xa3,%nop,imp1,1
0xa7,%nop,imp1,1
0xab,%nop,imp1,1
0xaf,%nop,imp1,1
0xb3,%nop,imp1,1
0xb7,%nop,imp1,1
0xbb,%nop,imp1,1
0xbf,%nop,imp1,1
0xc2,%nop,imm,1
0xc3,%nop,imp1,1
0xc7,%nop,imp1,1
0xcb,wai,imp1,1
0xcf,%nop,imp1,1
0xd3,%nop,imp1,1
0xd4,%nop,zpx,1
0xd7,%nop,imp1,1
0xdb,stp,imp1,1
0xdc,%nop,abs,1
0xdf,%nop,imp1,1
0xe2,%nop,imm,1
0xe3,%nop,imp1,1
0xe7,%nop,imp1,1
0xeb,%nop,imp1,1
0xef,%nop,imp1,1
0xf3,%nop,imp1,1
0xf4,%nop,zpx,1
0xf7,%nop,imp1,1
0xfb,%nop,imp1,1
0xfc,%nop,abx,1
0xff,%nop,imp1,1
0xcb,%nop,imp1,2
0xdb,%nop,imp1,2
